drop table if exists profile_56630;
 create table profile_56630 as
 SELECT projectid, _id,
 CAST(data.placed_timerange as SUPER),
 CAST(data.followup2_timerange as SUPER),
 CAST(data.doc_link as VARCHAR),
 CAST(data.reg_fy as INT),
 CAST(data.experience_yrs as INT),
 CAST(data.photograph_of_id as VARCHAR),
 CAST(data.certified_yn as INT),
 CAST(data.name as VARCHAR),
 CAST(data.certi_file as VARCHAR),
 CAST(data.employment_status as INT),
 CAST(data.offer_letter as VARCHAR),
 CAST(data.trained_yn as INT),
 CAST(data.attend_percentage as INT),
 CAST(data.followup1_timerange as SUPER),
 CAST(data.employ_status_2 as INT),
 CAST(data.state_district as INT),
 CAST(data.bene_photo as VARCHAR),
 CAST(data.reg_month as INT),
 CAST(data.name_bene as VARCHAR),
 CAST(data.placed_yn as INT),
 CAST(data.date_enroll as datetime),
 CAST(data.date_completion as datetime),
 CAST(data.stillemployed_yn as INT),
 CAST(data.stillempolyed_yn_2 as INT),
 CAST(data.batch_fy as VARCHAR),
 CAST(data.monthly_income as INT),
 CAST(data.final_percentage as INT),
 CAST(data.reg_qrtr as INT),
 CAST(data.bene_batch as VARCHAR),
 CAST(data.placement_sector as INT),
 CAST(data.reason_dropout as INT),
 CAST(data.batch_qrtr as VARCHAR),
 CAST(data.org_name as VARCHAR),
 CAST(data.enroll_fee as INT),
 CAST(data.dropout_others as VARCHAR),
 CAST(data.bene_religion as INT),
 CAST(data.bene_age as INT),
 CAST(data.job_role as VARCHAR),
 CAST(data.stage_dropout as INT),
 CAST(data.hr_name as VARCHAR),
 CAST(data.bene_gender as INT),
 CAST(data.bene_course as INT),
 CAST(data.type_parent_guardian as INT),
 CAST(data.bene_occu as INT),
 CAST(data.unique as VARCHAR),
 CAST(data.no_hr_available as BOOLEAN),
 CAST(data.hr_no as INT),
 CAST(data.edu_quali as INT),
 CAST(data.parent_guardian as VARCHAR),
 CAST(data.placed_capgemini as INT),
 CAST(data.dependants as INT),
 CAST(data.type_of_id_proof as INT),
 CAST(data.mobile_no as INT),
 CAST(data.trained_yn_copy as VARCHAR),
 CAST(data.ud as VARCHAR),
 CAST(data.email_id as VARCHAR),
 CAST(data.trained_yn_copy_2 as VARCHAR),
 CAST(data.family_income as INT),
 CAST(data.trained_fy as INT),
 CAST(data.trained_qrtr as INT),
 CAST(data.personal_income as INT),
 CAST(data.bene_disability as INT),
 CAST(data.trained_month as INT),
 CAST(data.disability_type as INT),
 CAST(data.certification_yn_copy as VARCHAR),
 CAST(data.placed_fy as INT),
 CAST(data.disability_degree as INT),
 CAST(data.placed_qtr as INT),
 CAST(data.disability_certi as VARCHAR),
 CAST(data.remarks as VARCHAR),
 CAST(data.placed_month as INT),
 CAST(data.placed_yn_copy_2 as VARCHAR),
 CAST(data.uid as VARCHAR),
 CAST(data.placed_yn_copy as VARCHAR),
 CAST(data.reason_placement as INT),
 CAST(data.job_reason_2 as VARCHAR),
 CAST(data.job_location as INT),
 CAST(data.job_reason as INT)
from ds_mongo_profileinstance where profileId='56630' and active = 't' and securitycontextid is not null
